ID,Player,Team,Position,Cost,Selection,Form,Points,Minutes,Goals,Assists,Clean_Sheets,Goals_Conceded,Own_Goals,Pen_Saved,Yellow,Reds,Saves,Bonus,Bonus_Syst,Influence,Creativity,Threat,ICT_Index,Dream_Team,Form_Value,Season_Value,PPG
CleverleyWATMID,Cleverley,WAT,MID,5.00,0.0010,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
SemaWATMID,Sema,WAT,MID,5.00,0.0010,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
ChalobahWATMID,Chalobah,WAT,MID,4.50,0.0030,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
QuinaWATMID,Quina,WAT,MID,4.50,0.0010,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
SarrWATMID,Sarr,WAT,MID,6.50,0.0040,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
WelbeckWATFWD,Welbeck,WAT,FWD,6.00,0.0020,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
RobertoWHUGKP,Roberto,WHU,GKP,4.50,0.0030,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
OgbonnaWHUDEF,Ogbonna,WHU,DEF,4.50,0.0040,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
MasuakuWHUDEF,Masuaku,WHU,DEF,4.50,0.0040,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
ZabaletaWHUDEF,Zabaleta,WHU,DEF,4.50,0.0080,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
ReidWHUDEF,Reid,WHU,DEF,4.00,0.0550,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
