Player,Team,Cost,Selected,Form,Points,PPG,Mins Played,Goals Scored,Own Goals,Assists,Pen Missed,Yellow,Red,Bonus,Influence,Creativity,Threat,ICT Index,Dream Team,Season VL,Form VL
Kolasinac,ARS,4.9,0.054,0.5,81,3.4,1886,0,1,7,,5,0,382,323.2,445.9,242,101,1,16.5,0.1
Mee,BUR,4.6,0.016,0,81,2.1,3420,0,2,2,,9,0,572,885.4,113.8,238,123.9,0,17.6,0
Mustafi,ARS,5.4,0.013,1.5,80,2.6,2611,2,0,0,,9,0,475,718.6,106,252,107.8,0,14.8,0.3
Sánchez,TOT,5.8,0.016,1,78,3.4,1941,1,0,2,,2,0,412,454.2,60.3,183,70,1,13.4,0.2
Monreal,ARS,5.4,0.013,4,77,3.5,1860,1,0,4,,5,0,392,413.2,196.6,224,83.4,1,14.3,0.7
Bennett,CAR,4.4,0.004,3.5,77,2.6,3060,1,0,1,,12,0,467,566.4,237.1,172,86.9,0,21.7,0.8
Evans,LEI,4.8,0.004,5,77,3.2,1993,1,0,0,,2,0,418,460,66.1,158,68.5,0,16,1
Schindler,HUD,4.2,0.02,2,76,2.1,3260,1,0,1,,4,1,517,679.4,35.8,169,88.7,1,18.1,0.5
Morgan,LEI,4.5,0.016,0,76,3.5,1924,3,0,0,,1,2,365,471,40.1,293,80.5,2,16.9,0
Young,MUN,5.7,0.017,2,73,2.4,2568,2,0,3,,8,1,450,554.4,650.5,124,133,1,12.8,0.4
Adam Smith,BOU,4.3,0.004,5,70,2.8,2067,1,0,1,,5,1,383,374,199.8,110,68.5,0,16.3,1.2
Otamendi,MCI,6,0.026,0.5,70,3.9,1233,0,0,0,,1,0,335,281.2,53.7,143,47.8,0,11.7,0.1
Zanka,HUD,4.4,0.023,0,67,2.8,2147,3,0,1,,6,0,402,544.2,103.7,169,81.9,0,15.2,0
Dummett,NEW,4.4,0.002,3.5,67,2.6,1986,0,0,0,,1,0,365,424.2,94,58,57.6,1,15.2,0.8
Vertonghen,TOT,5.9,0.04,0,67,3,1911,1,0,0,,3,1,390,445.4,116.7,165,72.7,0,11.4,0
Davies,TOT,5.6,0.017,1,66,2.4,1837,0,0,0,,2,0,361,388.2,256.6,176,82.3,0,11.8,0.2
Kiko Femenía,WAT,4.2,0.012,0.5,66,2.3,2043,1,0,1,,1,0,412,420.2,252.9,87,76,1,15.7,0.1
Sokratis,ARS,5.1,0.012,0.5,64,2.6,2198,1,0,2,,12,0,402,513.8,67.9,120,70.4,1,12.5,0.1
Lovren,LIV,4.9,0.015,0.5,63,4.8,986,1,0,1,,1,0,258,255.8,29.1,72,35.7,2,12.9,0.1
Yedlin,NEW,4.5,0.009,0,63,2.2,2472,1,1,2,,6,1,325,436.4,406.3,113,95.8,0,14,0
Koscielny,ARS,5.4,0.009,0.5,62,3.6,1329,3,0,0,,1,0,319,456.4,29.5,105,59.1,1,11.5,0.1
Balbuena,WHU,4.2,0.003,4,61,2.7,2013,1,0,0,,2,0,375,534.6,40.9,201,77.8,1,14.5,1
Bellerín,ARS,5.3,0.045,0,60,3.2,1532,0,1,5,,3,0,304,261.6,197.8,280,73.7,0,11.3,0
Chambers,FUL,4.2,0.011,0.5,60,1.9,2586,2,0,0,,9,0,431,609,231.9,401,124.5,0,14.3,0.1
Kongolo,HUD,4.3,0.002,2.5,60,1.9,2716,1,1,1,,4,0,429,581,138.5,160,88.1,1,14,0.6
Mendy,MCI,6.1,0.059,0,59,5.9,900,0,0,6,,1,0,262,250.8,222.7,70,54.2,2,9.7,0
